的	白勹丶&nbsp;·unid&nbsp;
𦹶	艹木貝&nbsp;·leob&nbsp;
𦹷	艹立口&nbsp;·lgid&nbsp;
𦹸	艹日十田&nbsp;·lonq&nbsp;
𦹹	艹氵厂土&nbsp;·lkxg&nbsp;
𦹺	艹文貝&nbsp;·lvob&nbsp;
𦹻	艹氵爫士&nbsp;·lkyg&nbsp;
𦹼	艸彳止龰&nbsp;·lwss&nbsp;
𦹽	⺿弓白十&nbsp;·lbun&nbsp;
𦹾	⺿毛&nbsp;·lgvm&nbsp;
𦹿	⺿亻厶夊&nbsp;·ljkh&nbsp;
𦺀	⺿木一夫&nbsp;·lefh&nbsp;
𦺁	⺿氵木&nbsp;·lkbe&nbsp;
𦺂	艸白一灬&nbsp;·lufc&nbsp;
𦺃	艹⺊冂禸&nbsp;·lymv&nbsp;
𦺄	⺿卯艮&nbsp;·lbig&nbsp;
𦺅	艹齊非一&nbsp;·lqrf&nbsp;
𦺆	⺿自冫隹&nbsp;·lowu&nbsp;lokn&nbsp;
𦺇	艹氵龶母&nbsp;·lkak&nbsp;
𦺈	⺿巳巳八&nbsp;·lvvh&nbsp;
𦺉	⺿亻甫寸&nbsp;·ljnk&nbsp;
𦺊	⺿目宀儿&nbsp;·lqwp&nbsp;
𦺋	⺿女穴又&nbsp;·lber&nbsp;
𦺌	⺿氵穴夊&nbsp;·lkeh&nbsp;
𦺍	⺿氵䒑刂&nbsp;·lkhp&nbsp;
𦺎	⺿⺼立口&nbsp;·lvid&nbsp;
𦺏	⺿日十乂&nbsp;·lonb&nbsp;
𦺐	⺿歹戈戈&nbsp;·lgpp&nbsp;
𦺑	艹立口毛&nbsp;·lidv&nbsp;
𦺒	⺿予丿女&nbsp;·litb&nbsp;
𦺓	⺿十日月&nbsp;·lnov&nbsp;
𦺔	⺿㐅𠂇殳&nbsp;·lbnr&nbsp;
𦺕	⺿扌癶大&nbsp;·luhm&nbsp;
𦺖	⺿予丿口&nbsp;·litd&nbsp;
𦺗	⺿人予&nbsp;·ljai&nbsp;
𦺘	⺿氵戊口&nbsp;·lknd&nbsp;
𦺙	⺿禾牛&nbsp;·lxpq&nbsp;
𦺚	⺿弓工口&nbsp;·lbud&nbsp;
𦺛	⺿犭彑&nbsp;·lmbj&nbsp;
𦺜	⺿火火力&nbsp;·lccs&nbsp;
𦺝	⺿宀心皿&nbsp;·lwha&nbsp;
𦺞	⺿言可&nbsp;·lszk&nbsp;
𦺟	⺿士冖&nbsp;·lgwc&nbsp;
𦺠	⺿⺈用瓜&nbsp;·lxty&nbsp;
𦺡	⺿手&nbsp;·lsus&nbsp;
𦺢	⺿糹士口&nbsp;·ligd&nbsp;
𦺣	⺿工頁&nbsp;·luwy&nbsp;
𦺤	⺿扌予木&nbsp;·luie&nbsp;
𦺥	⺿耂日阝&nbsp;·lqot&nbsp;
𦺦	⺿宀⺀&nbsp;·lwqw&nbsp;
𦺧	⺿宀丰刂&nbsp;·lwap&nbsp;
𦺨	⺿象&nbsp;·lwx&nbsp;
𦺩	⺿⺊日戈&nbsp;·lyop&nbsp;
𦺪	⺿禾人&nbsp;·lxjx&nbsp;
𦺫	⺿石丶艮&nbsp;·lmii&nbsp;
𦺬	⺿幺幺丶&nbsp;·liii&nbsp;
𦺭	⺿亻又&nbsp;·ljbr&nbsp;
𦺮	⺿广臼人&nbsp;·lxpj&nbsp;
𦺯	⺿片木&nbsp;·labe&nbsp;
𦺰	⺿亻丨糸&nbsp;·ljgi&nbsp;
𦺱	⺿匕貝&nbsp;·lsvo&nbsp;
𦺲	⺿夕⺋貝&nbsp;·llzo&nbsp;
𦺳	⺿立口口&nbsp;·lidd&nbsp;
𦺴	⺿隹木&nbsp;·luem&nbsp;
𦺵	⺿耳又木&nbsp;·lqre&nbsp;
𦺶	⺿厂火刂&nbsp;·lxcp&nbsp;
𦺷	⺿⺧儿儿&nbsp;·lqpp&nbsp;
𦺸	⺿米夕㐄&nbsp;·lplv&nbsp;
𦺹	⺿耳卯&nbsp;·lqbm&nbsp;
𦺺	⺿火火几&nbsp;·lcco&nbsp;
𦺻	⺿龷⺝攵&nbsp;·llvh&nbsp;
𦺼	⺿阝音&nbsp;·ltxy&nbsp;
𦺽	⺿日大乚&nbsp;·loma&nbsp;
𦺾	⺿氵而大&nbsp;·lklm&nbsp;
𦺿	⺿音戈&nbsp;·lxpg&nbsp;
𦻀	⺿彳日&nbsp;·lwot&nbsp;
𦻁	⺿⺈臼欠&nbsp;·lxpe&nbsp;
𦻂	⺿氵食&nbsp;·lkqs&nbsp;
𦻃	⺿人人隹&nbsp;·ljju&nbsp;
𦻄	⺿氵聿彡&nbsp;·lkbe&nbsp;
𦻅	⺿一大&nbsp;·lfmr&nbsp;
𦻆	⺿木&nbsp;·lzhe&nbsp;
𦻇	屮艸田心&nbsp;·slqh&nbsp;
𦻈	艹氵甫又&nbsp;·lknr&nbsp;
𦻉	⺿舟又&nbsp;·licr&nbsp;
𦻊	⺿木&nbsp;·lezh&nbsp;
𦻋	艹一丨巾&nbsp;·lfgr&nbsp;
𦻌	⺿甫皿&nbsp;·lnam&nbsp;
𦻍	⺿由土&nbsp;·lhdg&nbsp;
𦻎	艹禾㐅巾&nbsp;·lxbr&nbsp;
𦻏	⺿丨人ㄅ&nbsp;·lgja&nbsp;
𦻐	⺿火⺊十&nbsp;·lcyn&nbsp;
𦻑	⺿言丶&nbsp;·lsik&nbsp;
𦻒	⺿日大丶&nbsp;·lomi&nbsp;
𦻓	⺿禾口王&nbsp;·lxdn&nbsp;
𦻔	⺿文&nbsp;·lrvw&nbsp;
𦻕	⺿阝⺈心&nbsp;·ltxh&nbsp;
𦻖	⺿糹勹日&nbsp;·lino&nbsp;
𦻗	⺿隹辶&nbsp;·luuc&nbsp;
𦻘	⺿夫夫曰&nbsp;·lhho&nbsp;
𦻙	⺿耳耳&nbsp;·lqqe&nbsp;
𦻚	艹子耳阝&nbsp;·lhqt&nbsp;
𦻛	⺿乛水灬&nbsp;·lakc&nbsp;
𦻜	⺿氵廿木&nbsp;·lkle&nbsp;
𦻝	⺿十日戈&nbsp;·lnop&nbsp;
𦻞	⺿⺊冖大&nbsp;·lywm&nbsp;
𦻟	⺿氵刀&nbsp;·lkpl&nbsp;
𦻠	廿口龶&nbsp;·ldal&nbsp;
𦻡	⺿耳又&nbsp;·lqrl&nbsp;
𦻢	⺿至刂&nbsp;·lypl&nbsp;
𦻣	⺿木人&nbsp;·lejl&nbsp;
𦻤	⺿㐅凵日&nbsp;·lbmo&nbsp;
𦻥	⺿非&nbsp;·lrlc&nbsp;
𦻦	⺿勹缶&nbsp;·lnal&nbsp;
𦻧	⺿隹&nbsp;·lulc&nbsp;
𦻨	⺿犭瓜&nbsp;·lmyl&nbsp;
𦻩	⺿冖丶虫&nbsp;·lwic&nbsp;
𦻪	⺿韋廾&nbsp;·lglc&nbsp;
𦻫	⺿亠卝衣&nbsp;·lzlt&nbsp;
𦻬	⺿方&nbsp;·llzh&nbsp;
𦻭	⺿氵了凵&nbsp;·lkrm&nbsp;
𦻮	⺿方虎&nbsp;·llzh&nbsp;
𦻯	⺿亡月几&nbsp;·lfvo&nbsp;
𦻰	⺿歹&nbsp;·lgrf&nbsp;
𦻱	⺿文&nbsp;·ltvw&nbsp;
𦻲	⺿扌日皿&nbsp;·luoa&nbsp;
𦻳	⺿旡曰&nbsp;·lddo&nbsp;
𦻴	⺿扌⺊龰&nbsp;·luys&nbsp;
𦻵	⺿廿口力&nbsp;·llds&nbsp;
𦻶	⺿門斗&nbsp;·lajd&nbsp;
𦻷	⺿巾幺虫&nbsp;·lric&nbsp;
𦻸	⺿口口夕&nbsp;·lddl&nbsp;
𦻹	⺿非灬&nbsp;·lrch&nbsp;
𦻺	⺿門王&nbsp;·lanw&nbsp;
𦻻	⺿山豆几&nbsp;·lvzo&nbsp;
𦻼	⺿罒辰&nbsp;·lyfc&nbsp;
𦻽	⺿木日月&nbsp;·leov&nbsp;
𦻾	⺿㡀又巾&nbsp;·lfrr&nbsp;
𦻿	⺿豸田&nbsp;·lmqt&nbsp;
𦼀	⺿丿米巳&nbsp;·ltpv&nbsp;
𦼁	⺿禾⺈田&nbsp;·lxxq&nbsp;
𦼂	⺿人王王&nbsp;·ljnn&nbsp;
𦼃	⺿人刂&nbsp;·ljmp&nbsp;
𦼄	⺿斗&nbsp;·lajd&nbsp;
𦼅	⺿乡耳阝&nbsp;·liqt&nbsp;
𦼆	⺿龶夂丶&nbsp;·lahi&nbsp;
𦼇	⺿一心&nbsp;·lfch&nbsp;
𦼈	艹耳又灬&nbsp;·lqrc&nbsp;
𦼉	艹艹隹&nbsp;·llui&nbsp;
𦼊	⺿木土夊&nbsp;·legh&nbsp;
𦼋	⺿木氺&nbsp;·lebk&nbsp;
𦼌	⺿田⽱&nbsp;·llqv&nbsp;
𦼍	⺿白宀儿&nbsp;·luwp&nbsp;
𦼎	⺿舟舟&nbsp;·liio&nbsp;
𦼏	⺿丷囗曰&nbsp;·lhro&nbsp;
𦼐	⺿火火火&nbsp;·lccc&nbsp;
𦼑	⺿亻白&nbsp;·leju&nbsp;
𦼒	⺿厶厶⺗&nbsp;·lkkh&nbsp;
𦼓	艹王火火&nbsp;·lncc&nbsp;
𦼔	艹大丷小&nbsp;·lmhy&nbsp;
𦼕	⺿木&nbsp;·lsem&nbsp;
𦼖	艹冖禾禾&nbsp;·lwxx&nbsp;
𦼗	艹尸氺牛&nbsp;·lckq&nbsp;
𦼘	艹尸丷&nbsp;·lcvh&nbsp;
𦼙	⺿女日&nbsp;·lbot&nbsp;
𦼚	艹木木木&nbsp;·leee&nbsp;
𦼛	艹走人彡&nbsp;·lpje&nbsp;
𦼜	艹走小&nbsp;·lpxy&nbsp;
𦼝	艹忄巛乂&nbsp;·lhob&nbsp;
𦼞	艹人田&nbsp;·ljxq&nbsp;
𦼟	艹糹儿&nbsp;·libp&nbsp;
𦼠	艹門一廾&nbsp;·lafl&nbsp;
𦼡	⺿幺巾巾&nbsp;·lirr&nbsp;
𦼢	⺿山示斤&nbsp;·lvft&nbsp;
𦼣	艹⺊冂大&nbsp;·lymm&nbsp;
𦼤	艹鼠&nbsp;·lps&nbsp;
𦼥	艹氵耂日&nbsp;·lkqo&nbsp;
𦼦	⺿戊㇆皿&nbsp;·lnaa&nbsp;
𦼧	⺿阝辛乂&nbsp;·ltnb&nbsp;
𦼨	艹丨日貝&nbsp;·lgoo&nbsp;
𦼩	⺿丿大一&nbsp;·ltmf&nbsp;
𦼪	⺿木予木&nbsp;·leie&nbsp;lite&nbsp;
𦼫	⺿虍豕&nbsp;·lzjs&nbsp;
𦼬	艹氵且皿&nbsp;·lkfa&nbsp;
𦼭	⺿木甫寸&nbsp;·lenk&nbsp;
𦼮	⺿十日干&nbsp;·lnoe&nbsp;
𦼯	⺿丷豕辶&nbsp;·lhju&nbsp;
𦼰	⺿木曰亾&nbsp;·leof&nbsp;
𦼱	⺿隹&nbsp;·lumk&nbsp;
𦼲	⺿田&nbsp;·lsqt&nbsp;
𦼳	⺿⺼日&nbsp;·lvoe&nbsp;
𦼴	⺿木日&nbsp;·leoe&nbsp;
𦼵	⺿曰勹毛&nbsp;·lonv&nbsp;
𦼶	⺿月廿木&nbsp;·lvle&nbsp;
𦼷	⺿車凵殳&nbsp;·lymr&nbsp;
𦼸	⺿扌高&nbsp;·lugg&nbsp;
𦼹	⺿亠囗禾&nbsp;·lzrx&nbsp;
𦼺	⺿十戈王&nbsp;·lnpn&nbsp;
𦼻	⺿氵山攵&nbsp;·lkvh&nbsp;
𦼼	⺿魚又&nbsp;·lwry&nbsp;
𦼽	⺿韋支&nbsp;·lgci&nbsp;
𦼾	⺿扌田&nbsp;·lubq&nbsp;
𦼿	⺿一頁&nbsp;·lfsw&nbsp;
𦽀	⺿𠂉十頁&nbsp;·lenw&nbsp;
𦽁	⺿糹一工&nbsp;·lifu&nbsp;
𦽂	⺿禾土土&nbsp;·lxgg&nbsp;
𦽃	⺿片户&nbsp;·lami&nbsp;
𦽄	⺿尸龷殳&nbsp;·lclr&nbsp;
𦽅	⺿門可&nbsp;·lazk&nbsp;
𦽆	⺿阝辛子&nbsp;·ltnh&nbsp;
𦽇	⺿月聿廴&nbsp;·lvbu&nbsp;
𦽈	⺿丷酉犬&nbsp;·lhym&nbsp;
𦽉	⺿目火火&nbsp;·lqcc&nbsp;
𦽊	⺿口口&nbsp;·ldid&nbsp;
𦽋	⺿金句&nbsp;·lzgj&nbsp;
𦽌	⺿片一田&nbsp;·lafq&nbsp;
𦽍	艹目&nbsp;·lqaa&nbsp;
𦽎	⺿礻彑氺&nbsp;·lfbk&nbsp;
𦽏	⺿鳥几&nbsp;·lxoj&nbsp;
𦽐	⺿臼土殳&nbsp;·lpgr&nbsp;
𦽑	⺿禾子&nbsp;·lxgh&nbsp;
𦽒	⺿貝戈𠂇&nbsp;·lopn&nbsp;
𦽓	⺿火火十&nbsp;·lccn&nbsp;
𦽔	⺿木木示&nbsp;·leef&nbsp;
𦽕	⺿犭臣犬&nbsp;·lmqm&nbsp;
𦽖	⺿目囗禾&nbsp;·lqrx&nbsp;
𦽗	⺿㡀攵&nbsp;·lfhp&nbsp;
𦽘	⺿氵氏皿&nbsp;·lkba&nbsp;
𦽙	⺿弓弓辶&nbsp;·lbbu&nbsp;
𦽚	⺿阝立女&nbsp;·ltib&nbsp;
𦽛	⺿宀衤殳&nbsp;·lwtr&nbsp;
𦽜	⺿宀臼&nbsp;·lwhp&nbsp;
𦽝	⺿亻田糸&nbsp;·ljqi&nbsp;
𦽞	⺿韋二儿&nbsp;·lgmp&nbsp;
𦽟	⺿戶辶&nbsp;·lmiu&nbsp;
𦽠	⺿屮凵攵&nbsp;·lsmh&nbsp;
𦽡	⺿老&nbsp;·lgql&nbsp;
𦽢	⺿十冖&nbsp;·lnwt&nbsp;
𦽣	艸木示欠&nbsp;·lefe&nbsp;
𦽤	艹言⺁&nbsp;·lsxt&nbsp;
𦽥	⺿扌禾&nbsp;·luax&nbsp;
𦽦	⺿曰罒方&nbsp;·loyl&nbsp;
𦽧	⺿禾禾乃&nbsp;·lxxv&nbsp;
𦽨	⺿車六乂&nbsp;·lyab&nbsp;
𦽩	⺿木予木&nbsp;·leie&nbsp;
𦽪	⺿斤一田&nbsp;·ltfq&nbsp;
𦽫	艹戊一心&nbsp;·lnfh&nbsp;
𦽬	⺿癶㐄㐄&nbsp;·lhvv&nbsp;
𦽭	艹夕夕臼&nbsp;·lllp&nbsp;
𦽮	⺿舟殳女&nbsp;·lirb&nbsp;
𦽯	艹木了一&nbsp;·lerf&nbsp;
𦽰	艹予丿&nbsp;·litb&nbsp;
𦽱	艸丿囗艸&nbsp;·ltrl&nbsp;
𦽲	艹一氺衣&nbsp;·lfkt&nbsp;
𦽳	⺿田⽱心&nbsp;·lqvh&nbsp;
𦽴	⺿立龶⺝&nbsp;·liav&nbsp;
𦽵	⺿阝辛女&nbsp;·ltnb&nbsp;
𦽶	⺿木耳阝&nbsp;·leqt&nbsp;
𦽷	⺿氵聿&nbsp;·lkbl&nbsp;
𦽸	⺿二&nbsp;·lcml&nbsp;
𦽹	⺿⺜目&nbsp;·loql&nbsp;
𦽺	⺿口口攵&nbsp;·lddh&nbsp;
𦽻	⺿亻口&nbsp;·ljdl&nbsp;
𦽼	⺿氵覀木&nbsp;·lkve&nbsp;
𦽽	⺿米八大&nbsp;·lphm&nbsp;
𦽾	⺿氵田&nbsp;·lkbq&nbsp;
𦽿	⺿覀貝&nbsp;·lvob&nbsp;
𦾀	⺿大丷巳&nbsp;·lmhv&nbsp;
𦾁	⺿㇏小&nbsp;·laiy&nbsp;
𦾂	⺿王人心&nbsp;·lnjh&nbsp;
𦾃	⺿扌土皿&nbsp;·luga&nbsp;
𦾄	⺿束宀女&nbsp;·lxwb&nbsp;
𦾅	⺿丰刀氺&nbsp;·lapk&nbsp;
𦾆	⺿口口云&nbsp;·lddb&nbsp;
𦾇	艹大未&nbsp;·lmma&nbsp;
𦾈	⺿口口木&nbsp;·ldde&nbsp;
𦾉	⺿冖鳥&nbsp;·lwxn&nbsp;
𦾊	⺿口口方&nbsp;·lddl&nbsp;
𦾋	卝罒冖㐄&nbsp;·lywv&nbsp;
𦾌	⺿虫夂丰&nbsp;·lcha&nbsp;
𦾍	⺿曰小&nbsp;·lhoy&nbsp;
𦾎	⺿禾禾女&nbsp;·lxxb&nbsp;
𦾏	艹一艹甲&nbsp;·lfls&nbsp;
𦾐	⺿臣人皿&nbsp;·lqja&nbsp;
𦾑	艹覀示刂&nbsp;·lvfp&nbsp;
𦾒	⺿罒一戈&nbsp;·lyfp&nbsp;
𦾓	艹亻人ㄅ&nbsp;·ljja&nbsp;
𦾔	⺿隹丨日&nbsp;·lugo&nbsp;
𦾕	艹月一田&nbsp;·lvfq&nbsp;
𦾖	艹宀又虫&nbsp;·lwrc&nbsp;
𦾗	艹大皿&nbsp;·lbma&nbsp;
𦾘	艹女宀夕&nbsp;·lbwl&nbsp;
𦾙	艹扌十十&nbsp;·lunn&nbsp;
𦾚	艹虍口大&nbsp;·lzdm&nbsp;
𦾛	⺿日韋&nbsp;·logw&nbsp;
𦾜	艹豸艮&nbsp;·lmig&nbsp;
𦾝	艹人山&nbsp;·ljmv&nbsp;
𦾞	艹氺皿&nbsp;·lbka&nbsp;
𦾟	⺿戈戈皿&nbsp;·lppa&nbsp;
𦾠	艹日十示&nbsp;·lonf&nbsp;
𦾡	⺿女山攵&nbsp;·lbvh&nbsp;
𦾢	艹木㇗&nbsp;·leza&nbsp;
𦾣	艹扌冖隹&nbsp;·luwu&nbsp;
𦾤	艹亼⺝心&nbsp;·ljvh&nbsp;
𦾥	艹日冖車&nbsp;·lowy&nbsp;
𦾦	艹丿㠯女&nbsp;·ltkb&nbsp;
𦾧	⺿日耂日&nbsp;·loqo&nbsp;
𦾨	艹阝辛女&nbsp;·ltnb&nbsp;
𦾩	艹阝爫臼&nbsp;·ltyp&nbsp;
𦾪	艹白止夊&nbsp;·lush&nbsp;
𦾫	艹士冖殳&nbsp;·lgwr&nbsp;
𦾬	⺿扌羽白&nbsp;·luzu&nbsp;
𦾭	⺿片方&nbsp;·lail&nbsp;
𦾮	⺿十日木&nbsp;·lnoe&nbsp;
𦾯	⺿糹彑氺&nbsp;·libk&nbsp;
𦾰	⺿广囗示&nbsp;·lxrf&nbsp;
𦾱	⺿扌巛木&nbsp;·luoe&nbsp;
𦾲	⺿丷田八&nbsp;·lhqh&nbsp;
𦾳	⺿而大瓦&nbsp;·llmr&nbsp;
𦾴	⺿𠂉母糸&nbsp;·leki&nbsp;
𦾵	⺿火火木&nbsp;·lcce&nbsp;
𦾶	⺿氵車斤&nbsp;·lkyt&nbsp;
𦾷	⺿氵羽彡&nbsp;·lkze&nbsp;
𦾸	⺿立山而&nbsp;·livl&nbsp;
𦾹	⺿酉厶夊&nbsp;·lykh&nbsp;
𦾺	⺿金儿&nbsp;·lzpw&nbsp;
𦾻	⺿爫工心&nbsp;·lyuh&nbsp;
𦾼	⺿一辶&nbsp;·lqfu&nbsp;
𦾽	⺿罒辶&nbsp;·lyku&nbsp;
𦾾	⺿缶辶&nbsp;·lvau&nbsp;
𦾿	⺿米龶⺝&nbsp;·lpav&nbsp;
𦿀	⺿禾耂日&nbsp;·lxqo&nbsp;
𦿁	⺿禾一田&nbsp;·lxfq&nbsp;
𦿂	⺿弋鳥&nbsp;·lpxn&nbsp;
𦿃	⺿镸⺌⺼&nbsp;·lpyv&nbsp;
𦿄	⺿日丨&nbsp;·loge&nbsp;
𦿅	⺿冫馬几&nbsp;·lwno&nbsp;
𦿆	⺿石日&nbsp;·lmoe&nbsp;
𦿇	艹魚阝&nbsp;·lwte&nbsp;
𦿈	⺿侖口口&nbsp;·ljdd&nbsp;
𦿉	⺿日一&nbsp;·lofq&nbsp;
𦿊	⺿虍巛田&nbsp;·lzoq&nbsp;
𦿋	⺿土厶亾&nbsp;·lgkf&nbsp;
𦿌	⺿日幺灬&nbsp;·loic&nbsp;
𦿍	⺿亻业㇏&nbsp;·ljci&nbsp;
𦿎	⺿屮凵攴&nbsp;·lsmh&nbsp;
𦿏	⺿卝罒夕&nbsp;·llyl&nbsp;
𦿐	⺿隹戈&nbsp;·lsup&nbsp;
𦿑	艸日日艸&nbsp;·lool&nbsp;
𦿒	⺿木禾&nbsp;·leax&nbsp;
𦿓	⺿車口殳&nbsp;·lydr&nbsp;
𦿔	⺿㡀攵廾&nbsp;·lfhl&nbsp;
𦿕	⺿扌隹木&nbsp;·luue&nbsp;
𦿖	⺿土&nbsp;·lgxl&nbsp;
𦿗	⺿高毛&nbsp;·lgvm&nbsp;
𦿘	艹人人皿&nbsp;·ljja&nbsp;
𦿙	⺿⺈人&nbsp;·lxmj&nbsp;
𦿚	艹罒辶&nbsp;·lyku&nbsp;
𦿛	艹罒冖白&nbsp;·lywu&nbsp;
𦿜	艹宀貝&nbsp;·lwco&nbsp;
𦿝	艹㡀攵巾&nbsp;·lfhr&nbsp;
𦿞	⺿氵丿心&nbsp;·lkth&nbsp;
𦿟	⺿糹大可&nbsp;·limz&nbsp;
𦿠	⺿冖隹&nbsp;·lwul&nbsp;
𦿡	⺿日癶大&nbsp;·lohm&nbsp;
𦿢	⺿冖一&nbsp;·lwfl&nbsp;
𦿣	⺿高&nbsp;·lglc&nbsp;
𦿤	⺿亠幺&nbsp;·lzil&nbsp;
𦿥	⺿⺊囗&nbsp;·lyrl&nbsp;
𦿦	⺿冂人刂&nbsp;·lmjp&nbsp;
𦿧	⺿止戊示&nbsp;·lsnf&nbsp;
𦿨	艹禾巛田&nbsp;·lxoq&nbsp;
𦿩	⺿一曲廾&nbsp;·lfyl&nbsp;
𦿪	⺿夂丰廾&nbsp;·lhal&nbsp;
𦿫	艹言大日&nbsp;·lsmo&nbsp;
𦿬	⺿广鳥&nbsp;·lxxn&nbsp;
𦿭	⺿氵廿㒳&nbsp;·lklm&nbsp;
𦿮	⺿丷豕生&nbsp;·lhjl&nbsp;
𦿯	⺿皿乂&nbsp;·lkab&nbsp;
𦿰	⺿王馬&nbsp;·lnnm&nbsp;
𦿱	⺿戊非一&nbsp;·lnrf&nbsp;
𦿲	⺿大鳥&nbsp;·lmxn&nbsp;
𦿳	⺿土八土&nbsp;·lghg&nbsp;
𦿴	⺿大小&nbsp;·lmmy&nbsp;
𦿵	⺿白文&nbsp;·luav&nbsp;lauv&nbsp;
𦿶	艹弓䒑刀&nbsp;·lbhp&nbsp;
𦿷	艹犭亀&nbsp;·lmwg&nbsp;
𦿸	艹丿止虫&nbsp;·ltsc&nbsp;
𦿹	⺿日大水&nbsp;·lomk&nbsp;
𦿺	⺿禾米&nbsp;·lxpp&nbsp;
𦿻	⺿金人王&nbsp;·lzjn&nbsp;
𦿼	⺿勹止止&nbsp;·lnss&nbsp;
𦿽	⺿禾頁&nbsp;·lxwy&nbsp;
𦿾	⺿禾刂氺&nbsp;·lxpk&nbsp;
𦿿	⺿糹禾女&nbsp;·lixb&nbsp;
𧀀	⺿犭言犬&nbsp;·lmsm&nbsp;
𧀁	⺿禾冎口&nbsp;·lxfd&nbsp;
𧀂	⺿爫示示&nbsp;·lyff&nbsp;
𧀃	艹未丷丷&nbsp;·lahh&nbsp;
𧀄	⺿田日&nbsp;·lqoe&nbsp;
𧀅	⺿罒戈禾&nbsp;·lypx&nbsp;
𧀆	卝罒冖豆&nbsp;·lywz&nbsp;
𧀇	⺿囗糹田&nbsp;·lriq&nbsp;
𧀈	艹㐅一日&nbsp;·lbfo&nbsp;
𧀉	艹氵厶小&nbsp;·lkky&nbsp;
𧀊	艹糹爫木&nbsp;·liye&nbsp;
𧀋	艹麻丿厶&nbsp;·lztk&nbsp;
𧀌	艹氵束欠&nbsp;·lkxe&nbsp;
𧀍	艹王凵&nbsp;·lnmk&nbsp;
𧀎	⺿高⺝&nbsp;·lgvy&nbsp;
𧀏	艹金儿&nbsp;·lzbp&nbsp;
𧀐	艹王鬼&nbsp;·lnag&nbsp;
𧀑	艹禾千里&nbsp;·lxld&nbsp;
𧀒	艹女束攵&nbsp;·lbxh&nbsp;
𧀓	艹尸女&nbsp;·lckb&nbsp;
𧀔	⺿豸尤彡&nbsp;·lmoe&nbsp;
𧀕	⺿阝辛辶&nbsp;·ltnu&nbsp;
𧀖	⺿禾日&nbsp;·lxot&nbsp;
𧀗	艹耒巛田&nbsp;·laoq&nbsp;
𧀘	⺿忄龶貝&nbsp;·lhao&nbsp;
𧀙	⺿耳火灬&nbsp;·lqcc&nbsp;
𧀚	⺿禾㇆火&nbsp;·lxac&nbsp;
𧀛	⺿厶⺼灬&nbsp;·lkvc&nbsp;
𧀜	艹火爫臼&nbsp;·lcyp&nbsp;
𧀝	⺿氵亻木&nbsp;·lkje&nbsp;
𧀞	艹田木&nbsp;·lqeb&nbsp;
𧀟	艹厶口皿&nbsp;·lkda&nbsp;
𧀠	⺿糹日&nbsp;·liot&nbsp;
𧀡	⺿氵隹灬&nbsp;·lkuc&nbsp;
𧀢	⺿⻊廿木&nbsp;·lple&nbsp;
𧀣	⺿言隹&nbsp;·lsui&nbsp;
𧀤	⺿齒&nbsp;·llc&nbsp;
𧀥	⺿心夂&nbsp;·lwhh&nbsp;
𧀦	⺿魚日&nbsp;·lwor&nbsp;
𧀧	卝罒冖夊&nbsp;·lywh&nbsp;
𧀨	⺿巛&nbsp;·lops&nbsp;
𧀩	⺿貝日&nbsp;·looe&nbsp;
𧀪	⺿氵大小&nbsp;·lkmy&nbsp;
𧀫	⺿歹𠂉&nbsp;·lgee&nbsp;
𧀬	⺿⺼木氺&nbsp;·lvek&nbsp;
𧀭	⺿木乂大&nbsp;·lebm&nbsp;
𧀮	⺿甫方攵&nbsp;·lnlh&nbsp;
𧀯	⺿宀丿田&nbsp;·lwtq&nbsp;
𧀰	⺿⻊巾&nbsp;·lpir&nbsp;
𧀱	⺿艹冖心&nbsp;·llwh&nbsp;
𧀲	⺿門八儿&nbsp;·lahp&nbsp;
𧀳	⺿镸&nbsp;·lpbk&nbsp;
𧀴	⺿虍田⺼&nbsp;·lzqv&nbsp;
𧀵	⺿車斤木&nbsp;·lyte&nbsp;
𧀶	艹士冖龰&nbsp;·lgws&nbsp;
𧀷	⺿彡寸&nbsp;·lebk&nbsp;
𧀸	⺿亻业八&nbsp;·ljch&nbsp;
𧀹	艹广廿辶&nbsp;·lxlu&nbsp;
𧀺	⺿士口頁&nbsp;·lgdw&nbsp;
𧀻	⺿亻⺈言&nbsp;·ljxs&nbsp;
𧀼	⺿㠯辛&nbsp;·lskn&nbsp;
𧀽	⺿禾且皿&nbsp;·lxfa&nbsp;
𧀾	⺿丷𢎨&nbsp;·ltht&nbsp;
𧀿	⺿丷酉阝&nbsp;·lhyt&nbsp;
𧁀	⺿十日&nbsp;·lnox&nbsp;
𧁁	⺿口口&nbsp;·lddt&nbsp;
𧁂	艹阝丷辶&nbsp;·lthu&nbsp;
𧁃	⺿禾亠田&nbsp;·lxzq&nbsp;
𧁄	⺿氵止刂&nbsp;·lksp&nbsp;
𧁅	⺿乃一金&nbsp;·lvfz&nbsp;
𧁆	⺿山水金&nbsp;·lvkz&nbsp;
𧁇	屮屮艸又&nbsp;·sslr&nbsp;
𧁈	⺿土八木&nbsp;·lghe&nbsp;
𧁉	⺿甫方巴&nbsp;·lnlm&nbsp;
𧁊	⺿目艮心&nbsp;·lqih&nbsp;
𧁋	⺿𠂉母心&nbsp;·lekh&nbsp;
𧁌	卝罒冖人&nbsp;·lywj&nbsp;
𧁍	⺿車耳又&nbsp;·lyqr&nbsp;
𧁎	艹日冖攵&nbsp;·lowh&nbsp;
𧁏	⺿十冖龰&nbsp;·lnws&nbsp;
